案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
10	連江縣南竿鄉	2018-11-25T06:13:06+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T22:22:18+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T22:39:39+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:18:55+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T01:16:55+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T23:54:58+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T22:36:16+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:11:23+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:30:22+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T00:08:37+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:42:30+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T22:53:42+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:38:16+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T22:57:03+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T22:44:21+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T06:28:25+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T23:00:42+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T03:31:38+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T23:26:33+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:50:43+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T03:43:23+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-25T01:01:39+08:00	1833	556	2389	88	2477	4918	50.37%	37.27%	3	4
10	連江縣南竿鄉	2018-11-24T22:18:50+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:07:46+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T00:22:13+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T22:12:32+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T03:49:03+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-25T06:23:12+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T22:15:19+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T01:11:43+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T23:46:34+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T06:07:56+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-25T01:06:35+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T23:59:15+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T00:13:15+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T22:32:48+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T03:38:05+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T22:25:54+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:34:21+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:15:11+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T03:55:14+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-25T00:17:38+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T00:04:14+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T06:18:08+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T22:40:46+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T22:29:10+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-24T23:04:13+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T01:24:59+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	連江縣南竿鄉	2018-11-24T22:49:53+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T00:56:43+08:00	731	241	972	42	1014	1967	51.55%	37.16%	1	4
10	連江縣南竿鄉	2018-11-24T23:22:52+08:00	0	0	0	0	0	0	0%	0%	0	4
10	連江縣南竿鄉	2018-11-25T04:02:00+08:00	2485	691	3176	101	3277	6461	50.72%	38.46%	4	4
10	宜蘭縣蘇澳鎮	2018-11-24T22:39:37+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-25T01:16:53+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T06:23:10+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:18:54+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T03:49:01+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:22:17+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:12:30+08:00	12080	4251	16331	1177	17508	30930	56.61%	39.06%	40	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:07:44+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:54:56+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T04:01:58+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:29:08+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-25T06:07:54+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:11:22+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T01:11:41+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:44:19+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:04:11+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:40:44+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-25T00:04:11+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T06:28:23+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:15:09+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T03:31:36+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:22:50+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T01:01:36+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:49:51+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:18:47+08:00	12080	4251	16331	1177	17508	30930	56.61%	39.06%	40	43
